Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,pChEMBL Value,Molecular Weight,AlogP,label
CHEMBL211372,CN1C2CCC1C1COC(=O)CCCCCCCCC(=O)Nc3ccc(cc3)C1C2,Ki,1.9,8.72,412.57,4.87,1
CHEMBL4076722,[O-][S+](Cc1csc(Br)c1)C(c1ccccc1)c1ccccc1,IC50,44700.0,4.35,391.36,5.55,0
CHEMBL257083,CNCC1CCCCC1(OC)c1cccc(OC)c1,IC50,2686.0,5.57,263.38,2.95,0
CHEMBL258336,CO[C@]1(c2ccccc2)CCCC[C@@H]1CN(C)C,IC50,2534.0,5.6,247.38,3.28,0
CHEMBL270570,CCCCO[C@]1(c2cccc(O)c2)CCCC[C@@H]1CN(C)C,IC50,2744.0,5.56,305.46,4.16,0
CHEMBL258140,CCCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C,IC50,110.0,6.96,319.49,4.46,1
CHEMBL256227,CCCO[C@]1(c2cccc(OC)c2)CCCC[C@@H]1CN(C)C,IC50,25.0,7.6,305.46,4.07,1
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,IC50,3.0,8.52,297.42,4.63,1
CHEMBL5935569,FC(F)(F)Oc1ccc(COc2ccc(Cl)cc2OC2CNC2)cc1,Ki,578.0,6.24,373.76,4.17,1
CHEMBL6043799,Clc1ccc(OCc2ccncc2)c(OC2CNC2)c1,Ki,464.0,6.33,290.75,2.66,1
CHEMBL2171417,Cl.c1ccc(OC(c2ccc3ccccc3c2)C2CNC2)cc1,IC50,8.3,8.08,325.84,4.18,1
CHEMBL5817730,CNCC(c1ccc(Cl)c(Cl)c1)[C@H](O)c1ccccc1,Ki,17.3,7.76,310.22,4.03,1
CHEMBL6049222,CN(C)CC(C)(c1ccc2ccccc2c1)C(O)c1ccccc1,Ki,2.7,8.57,319.45,4.39,1
CHEMBL5931271,CNC[C@H](c1ccc2ccccc2c1)[C@@H](O)c1ccccc1F,Ki,10.7,7.97,309.38,4.02,1
CHEMBL5974181,Fc1ccc2c(c1)CC(Oc1ccc(Cl)cc1OC1CNC1)C2,Ki,4.0,8.4,333.79,3.38,1
CHEMBL5871417,COc1ccc2c(c1)CC(Oc1ccc(Cl)cc1OC1CNC1)C2,Ki,262.0,6.58,345.83,3.25,1
CHEMBL1812745,COC(=O)[C@H]1[C@@H](c2ccc(Cl)c(C)c2)C[C@@H]2CC[C@H]1N2C,IC50,1.0,9.0,307.82,3.39,1
CHEMBL5798249,CN(C)C[C@H](c1ccc(Cl)c(Cl)c1)[C@H](O)c1ccccc1,Ki,138.0,6.86,324.25,4.37,1
CHEMBL5877069,CNC[C@H](Cc1ccccc1O)c1ccc2ccccc2c1,Ki,28.3,7.55,291.39,4.09,1
CHEMBL5955193,CNC[C@@H](c1ccc(Cl)c(Cl)c1)[C@@H](O)c1cccc(N2CCOCC2)c1,Ki,725.0,6.14,395.33,3.87,1
CHEMBL5779902,Clc1ccc(C2(COc3ccc(Cl)cc3OC3CNC3)CCC2)cc1,Ki,65.0,7.19,378.3,4.84,1
CHEMBL4091738,COc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,IC50,4050.0,5.39,391.52,3.69,0
CHEMBL4073602,Clc1ccc(-c2nnnn2CCCN2CCC(Cc3ccccc3)CC2)cc1,IC50,3130.0,5.5,395.94,4.34,0
CHEMBL390929,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(Cl)c(Cl)c1)O2,IC50,4.7,8.33,315.2,3.82,1
CHEMBL181188,COc1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,9.69,8.01,315.44,3.52,1
CHEMBL1277411,CNCCC(c1ccccc1)c1ccc(O)c2ccc(OCCN3CCCC3)cc12,Ki,7.0,8.15,404.55,4.76,1
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,3.1,8.51,309.33,4.44,1
CHEMBL1224381,CNCCC(c1ccc(Cl)c(Cl)c1)n1ncnn1,IC50,181.0,6.74,286.17,2.18,1
CHEMBL1224227,CNCCC(c1ccc2ccccc2c1)n1ncnn1,IC50,32.0,7.5,267.34,2.03,1
CHEMBL323447,CN(C)CC1C2CCC(C2)C1c1cccc2ccccc12,Ki,52.0,7.28,279.43,4.53,1
CHEMBL106939,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,Ki,1.12,8.95,283.4,3.35,1
