"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL211372";"";"None";"412.57";"0";"4.87";"5e";"CN1C2CCC1C1COC(=O)CCCCCCCCC(=O)Nc3ccc(cc3)C1C2";"Ki";"'='";"1.9";"nM";"8.72";"";"";"UO_0000065";"21.14";"0.40";"3.85";"14.87";"0";"CHEMBL867297";"Displacement of [3H]paroxetine from human 5HTT";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137428";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"1.9"
"CHEMBL4085703";"";"None";"346.48";"0";"3.10";"4b";"COC1NN=C(C[S+]([O-])C(c2ccccc2)c2ccccc2)S1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL4103632";"";"None";"328.46";"0";"3.88";"4c";"Cc1nnc(C[S+]([O-])C(c2ccccc2)c2ccccc2)s1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL4077697";"";"None";"307.42";"0";"4.12";"7b";"[O-][S+](Cc1ccncc1)C(c1ccccc1)c1ccccc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL4080841";"";"None";"322.43";"0";"3.82";"7j";"Cc1cnc(C[S+]([O-])C(c2ccccc2)c2ccccc2)nc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL4067474";"";"None";"312.46";"0";"4.79";"7k";"[O-][S+](Cc1ccsc1)C(c1ccccc1)c1ccccc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL4096421";"";"None";"340.51";"1";"5.40";"7n";"Cc1scc(C[S+]([O-])C(c2ccccc2)c2ccccc2)c1C";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL4076722";"";"None";"391.36";"1";"5.55";"7o";"[O-][S+](Cc1csc(Br)c1)C(c1ccccc1)c1ccccc1";"IC50";"'='";"44700.0";"nM";"4.35";"";"";"UO_0000065";"11.11";"0.27";"-1.20";"18.86";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";"44.7"
"CHEMBL4101155";"";"None";"391.36";"1";"5.55";"11i";"[O-][S@@+](Cc1cccs1)[C@@H](c1ccccc1)c1ccc(Br)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL4032122";"Inhibition of re-uptake of [3H]-5-HT at human SERT expressed in HEK293 cells preincubated for 5 mins followed by [3H]-dopamine addition measured after 1 min by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028886";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";""
"CHEMBL257083";"";"None";"263.38";"0";"2.95";"22";"CNCC1CCCCC1(OC)c1cccc(OC)c1";"IC50";"'='";"2686.0";"nM";"5.57";"";"";"UO_0000065";"21.15";"0.40";"2.62";"18.27";"0";"CHEMBL948140";"Inhibition of SERT mediated 5-hydroxytryptamine uptake";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL228";"Sodium-dependent serotonin transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"2686.0"
